Sarah Brown, Global Brand Digital Commerce Acceleration | Marketing Director | Marketing Week Top 100 | Curious strategic problem-solver | Marketplaces & Transformation | Diageo | ex-Rightmove | Improv
James Jones, Managing Consultant - M&A at Pearse Partners
Jennifer Davis, Attended University of California, Berkeley
Robert Miller, Full Stack Developer
Lisa Garcia, Professor at Northwestern University
William Rodriguez, State Patrol Trooper, Public Safety Department at State Of Minnesota
Elizabeth Martinez, TEDx Speaker | LinkedIn Top Voice 24’ & 25’ | WISER Pioneer ‘24 | @Ex-Amazon + KION | Sr. Director of Sustainability, Specialized in Supply Chain, Technology and Innovation
David Anderson, Project Manager at Buchanan Technologies
Patricia Thomas, CONNECTING PEOPLE FOR BETTER HEALTHCARE. Chief HomeCare Officer emedSwiss
Joseph Taylor, Graduate of The University of Huddersfield
Barbara Moore, Professional, Medicine Medical Doctor at University Of Missouri System
Richard Jackson, Founder & CEO of WatchMyCompetitor.com
Susan White, Chief Information and Operations Officer, BMO Capital Markets & BMO Commercial Banking
Charles Harris, Founder at knus | Leading Mental Health Peer Support Service
Margaret Martin, Adaptable communicator & people-person
